name,KO/TKO,Submission,Decision - Unanimous,Decision - Majority,Decision - Split,StrikeBonus,5roundBonus,Value
Anthony Rocco Martin,100,270,400,0,0,114,0,884
Aaron Simpson,300,0,320,0,70,192,0,882
Anthony Hernandez,200,360,80,0,0,216,25,881
Manon Fiorot,200,0,400,0,0,256,25,881
Khamzat Chimaev,200,360,80,75,0,114,50,879
Jeremy Horn,200,360,240,0,0,53,25,878
Sean Woodson,300,0,240,0,140,198,0,878
Ryan Spann,300,360,80,0,70,41,25,876
Alexis Davis,100,90,400,0,140,121,25,876
Sean Sherk,0,90,480,0,70,133,100,873
Irene Aldana,300,90,240,0,70,121,50,871
Ricky Simon,100,270,240,0,140,93,25,868
Amanda Ribas,100,180,320,0,0,242,25,867
John Moraga,200,270,160,0,70,141,25,866
Shane Burgos,200,90,240,75,70,190,0,865
Roman Dolidze,500,0,160,0,70,108,25,863
Davey Grant,300,90,160,0,70,243,0,863
Sam Stout,100,0,400,0,210,152,0,862
Ken Shamrock,300,450,0,0,0,85,25,860
Devin Clark,100,0,560,0,0,174,25,859
Ilir Latifi,300,180,240,0,70,69,0,859
Giga Chikadze,300,0,240,0,140,127,50,857
Ion Cutelaba,400,0,160,0,70,227,0,857
Pedro Rizzo,600,0,80,0,70,31,75,856
Bibiano Fernandes,100,270,240,0,140,106,0,856
Alan Belcher,400,270,0,0,70,112,0,852
Myles Jury,300,90,240,0,70,149,0,849
Joachim Hansen,300,270,80,0,140,59,0,849
Spencer Fisher,200,180,320,0,0,147,0,847
TJ Grant,300,90,240,0,70,144,0,844
Julian Erosa,200,360,80,0,140,63,0,843
Lerone Murphy,200,0,320,0,70,228,25,843
Calvin Kattar,400,0,240,0,0,76,125,841
JJ Aldrich,100,0,560,0,70,109,0,839
Rustam Khabilov,100,0,560,0,70,83,25,838
Kyler Phillips,200,90,320,0,0,227,0,837
Nate Quarry,500,0,160,0,0,151,25,836
Ignacio Bahamondes,400,90,80,0,0,265,0,835
JunYong Park,0,270,160,75,140,189,0,834
David Abbott,500,180,80,0,0,72,0,832
Vladimir Matyushenko,300,0,320,0,70,115,25,830
Max Griffin,300,0,160,75,140,155,0,830
Brandon Royval,100,270,0,0,210,174,75,829
Steve Garcia,700,0,0,0,0,128,0,828
Duane Ludwig,300,0,240,0,70,216,0,826
Erin Blanchfield,0,270,320,0,0,160,75,825
Jalin Turner,400,270,0,0,0,153,0,823
John Hathaway,100,0,400,0,70,226,25,821
Mark Kerr,200,450,80,0,0,90,0,820
Liz Carmouche,200,0,320,0,70,152,75,817
Gabriel Benitez,300,180,160,0,0,177,0,817
Paul Daley,700,0,0,0,0,67,50,817
Akira Shoji,200,270,160,0,140,46,0,816
Raoni Barcelos,200,180,240,0,0,195,0,815
Kevin Randleman,200,0,400,0,0,139,75,814
Muslim Salikhov,400,0,160,0,140,113,0,813
Tatiana Suarez,100,360,160,0,0,193,0,813
Erik Koch,300,180,240,0,0,90,0,810
Niko Price,400,180,160,0,0,70,0,810
Phil Baroni,500,90,80,0,0,114,25,809
Mark Bocek,0,360,240,0,70,138,0,808
Joe Riggs,400,90,160,0,0,158,0,808
Ricardo Almeida,0,270,400,0,0,134,0,804
Alejandro Perez,300,90,240,0,70,104,0,804
Karol Rosa,0,0,320,75,140,267,0,802
Luana Carolina,100,0,400,0,70,231,0,801
Joel Alvarez,400,270,0,0,0,131,0,801
Karo Parisyan,100,90,400,0,70,140,0,800
Gregory Rodrigues,500,0,160,0,0,139,0,799
Thiago Moises,200,270,240,0,0,63,25,798
