player_name,value,playoff_value,total_value,passes_bought
Austin Hays,213,0,213,262
Hayden Birdsong,213,0,213,64
Pavin Smith,212,0,212,53
Brett Wisely,211,0,211,40
Bryan Hoeing,211,1,212,12
Jake Cousins,211,33,244,22
James McCann,211,0,211,69
Nick Anderson,211,0,211,12
Bryce Jarvis,210,0,210,11
Carlos Carrasco,210,0,210,22
Yasmani Grandal,210,0,210,24
Hunter Goodman,209,0,209,28
José Suarez,209,0,209,11
Justin Verlander,209,0,209,266
Wandy Peralta,208,0,208,14
Andy Ibáñez,207,60,267,135
Willie Calhoun,207,0,207,11
Vidal Bruján,206,0,206,9
Edouard Julien,205,0,205,316
Ezequiel Duran,205,0,205,77
Jack Suwinski,205,0,205,142
Cade Povich,203,0,203,48
Joe Kelly,203,0,203,83
Dane Dunning,202,0,202,127
JT Chargois,202,0,202,3
Jesús Luzardo,202,0,202,189
Jhonkensy Noel,202,53,255,195
Joey Gallo,201,0,201,58
Austin Martin,200,0,200,56
Jose A. Ferrer,200,0,200,
Kyle Farmer,200,0,200,39
Sean Murphy,200,0,200,547
Hogan Harris,199,0,199,2
Jose Trevino,199,17,216,243
Harold Ramírez,198,0,198,62
Joey Loperfido,198,0,198,147
Keider Montero,198,39,237,23
Merrill Kelly,197,0,197,379
Nelson Velázquez,197,0,197,115
Spencer Turnbull,197,0,197,229
Will Smith,197,170,367,22
Trent Grisham,196,0,196,113
Jared Shuster,195,0,195,4
Seth Martinez,194,0,194,16
Tyler Soderstrom,194,0,194,23
Chas McCormick,193,6,199,155
Ross Stripling,193,0,193,10
Chase Anderson,192,0,192,16
Dylan Carlson,192,0,192,32
Carson Spiers,191,0,191,15
Paul Blackburn,191,0,191,150
Pedro Pagés,191,0,191,17
Michael A. Taylor,190,0,190,113
Tyler Nevin,189,0,189,29
Connor Norby,188,0,188,49
Enmanuel Valdez,188,0,188,126
Jordan Weems,187,0,187,12
Nick Senzel,187,0,187,51
Richard Lovelady,187,0,187,3
David Festa,186,0,186,
Jake Bird,186,0,186,2
Wilmer Flores,185,0,185,94
Chris Taylor,184,38,222,64
Sam Hilliard,184,0,184,6
Steven Okert,183,0,183,20
