name,wins,losses,ufc_loses,KO/TKO,Submission,Unanimous Decision,Majority Decision,Split Decision,No Contest,Losses
Brian Davidson,13,4
Rick Davis,3,1
Marcus Davis,22,11
LC Davis,23,8
Phil Davis,17,4
Lemont Davis,2,6
Mike Davis,10,2
Justin Davis,13,16
Alexis Davis,21,11
Danny Davis,13,11
Brandon Davis,14,10
Hakeem Dawodu,13,4
Grant Dawson,20,2
Jason Day,19,12
Martin Day,8,6
Angel De Anda,18,6
Yorgan De Castro,6,3
Geraldo de Freitas,12,6
Philip De Fries,12,6
Chris de la Rocha,5,3
Montana De La Rosa,12,9
Mark De La Rosa,11,5
Mike de la Torre,14,7
Rodrigo de Lima,8,3
Edilberto de Oliveira,29,15
Johil de Oliveira,17,15
Jorge de Oliveira,9,2
Isabela de Padua,5,2
Gloria de Paula,6,5
Germaine de Randamie,10,4
Crezio de Souza,1,2
Carl Deaton,17,7
Tom DeBlass,9,2
Issac DeJesus,12,7
Rafael  Del Real,6,20
Shane del Rosario,11,2
Wallen Del Rosario,8,2
Humberto DeLeon,7,7
Rolando Delgado,11,6
Israel Delgado,0,2
Ante Delija,17,3
Jack Della Maddalena,16,2
Roland Delorme,9,5
Jon Delos Reyes,8,5
Jason DeLucia,33,21
Justin DeMoney,15,7
Vanessa Demopoulos,10,5
Chris Dempsey,11,5
Nick Denis,11,3
Thomas Denny,27,21
Robert Densley,9,10
Jason Dent,22,13
Mackenzie Dern,13,5
Booker DeRousse,6,5
Tony DeSouza,11,4
Cory Devela,16,7
John Devine,6,4
Edwin DeWees,38,17
Alessio Di Chirico,13,7
Micol Di Segni,7,3
Cyrille Diabate,19,10
Thomas Diagne,6,6
Marc Diakiese,17,7
Tyler Diamond,9,1
Blood Diamond,3,3
Eldo Xavier Dias,0,1
Rafael Dias,17,12
Hacran Dias,23,6
Victor Dias,11,3
Nick Diaz,26,10
Nate Diaz,22,13
Michael Diaz,1,2
Ryan Diaz,13,14
Adrian Diaz,11,4
Ozzy Diaz,7,2
Mark Dickman,11,3
Josh Diekmann,15,8
Kyle Dietz,5,2
Seth Dikun,9,8
TJ Dillashaw,18,5
Ralph Dillon,0,2
Drew Dimanlig,3,4
Rodolfo Marques Diniz,23,9
Jhonata Diniz,6,0
Helio Dipp,6,3
Rico DiSciullo,9,2
Matt Dixon,9,1
Melissa Dixon,6,0
John Dixson,15,22
Anthony Do,4,2
Russell Doane,15,8
Drew Dober,27,13
Shana Dobson,4,5
AJ Dobson,7,2
David Dodd,4,7
John Dodson,22,12
Joe Doerksen,51,16
Mike Dolce,5,10
Roman Dolidze,12,3
Cameron Dollar,11,5
CB Dollaway,17,9
Dennis Dombrow,7,5
OJ Dominguez,0,1
John Donaldson,2,2
Cody Donovan,8,5
Houston Dorr,1,2
Rafael Dos Anjos,32,15
Junior Dos Santos,21,9
Geronimo dos Santos,39,19
